id,batch,side,reason
integration-by-parts-u-dv,2,jp,日本側（部分積分を ∫f g′ dx = fg − ∫f′g dx の形で書く）を確かめられない。解説は「部分積分法」の名前だけ。2026-09-26: 部分積分は数学Ⅲ で、共通テスト・センター試験の範囲にない
acronym-mnemonics,2,jp,日本側（展開・演算の順序・部分積分に決まった覚え方がない、sin・cos・tan を筆記体の形で覚える）を資料で確かめられない。2026-09-26: 覚え方は試験問題からは確かめられない
half-angle-formula-form,2,jp,日本側（半角の公式を 2 乗の形で書く）を確かめられない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも「半角の公式」が出てこない
perpendicular-slope-condition,2,jp,日本側（垂直条件を傾きの積 m₁m₂ = −1 と書く）が解説・日本語版 Wikipedia で見つからない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学に「傾きの積」の形が見つからない
us-customary-units,2,jp,日本側（中 3 の落下の式 y = 4.9x²）が解説・日本語版 Wikipedia で見つからない。2026-09-26: 中 3 の内容で、共通テスト・センター試験の範囲にない
velocity-speed-displacement,2,jp,日本側の違い（数学II の「瞬間の速さ」が負にもなる、変位は物理の語）を確かめられない。解説の数学III は速度を扱うが、速さとの言い分けは米国と同じで違いにならない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学の「速度」は数学Ⅰ のデータの文脈（平均速度・飛び出すときの速度）だけで、「瞬間の速さ」の符号は出てこない
addition-rule-scope,2,jp,日本側（数学A の「確率の加法定理」は排反な事象だけを指す）を確かめられない。解説にあるのは「排反」の語だけ。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学の「加法定理」は三角関数の加法定理だけで、確率の加法定理は出てこない
end-of-proof-marker,2,jp,日本側（答案の最後に「証明終わり」「終」と書く）を確かめられない。日本語版 Wikipedia「Q.E.D.」は記号 ∎ の説明だけ。2026-09-26: 共通テスト・センター試験はマーク式で答案を書かせないので、答案の締め方は確かめられない
identity-matrix-letter,2,jp,日本側（単位行列を E と書く）を決められない。日本語版 Wikipedia「単位行列」は En と In の両方が多いと書く。2026-09-26: 行列は平成26年度以降の共通テスト・センター試験の範囲になく、単位行列は出てこない
classify-equations-and-systems,2,jp,日本側（連立方程式の解を「不定」「不能」と答える）が解説・日本語版 Wikipedia で見つからない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学の「不定」は不定方程式だけで、連立方程式の解を「不定」「不能」と答える問題は出てこない
problem-instruction-verbs,2,jp,日本側（問題文が「求めよ」「示せ」「図示せよ」で済ませる）を確かめられる資料がない（解説は問題文の書き方を扱わない）。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学はマーク式で「求めよ」「示せ」が少しあるだけ（「〜を求めよう」「〜を示せばよい」の形）。記述式の問題文の動詞を比べる資料にならない
expression-vs-equation-scope,2,jp,日本側（日本語の「式」が等式・不等式を含む）を確かめられない（日本語版 Wikipedia に「式 (数学)」の記事がない）。2026-09-26: 「式」が等式を含むかは試験問題からは確かめられない
polynomial-includes-monomial,2,jp,日本側（中学が多項式を 2 項以上の和として単項式と区別する）を確かめられない。2026-09-26: 中学の内容で、共通テスト・センター試験の範囲にない
principal-square-root-includes-zero,2,jp,日本側（「正の平方根」が 0 を含まない）を解説で確かめられない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学は「平方根のうち正のもの」と書くが（共通テスト 令和5年度 数学Ⅰ 第3問の選択肢）、0 を含むかどうかは分からない
rational-function-scope,2,jp,日本側（数学III の分数関数が (ax + b)/(cx + d) の形を中心とする）を確かめられない。解説にあるのは「分数関数」の語だけ。2026-09-26: 分数関数は数学Ⅲ で、共通テスト・センター試験の範囲にない
relatively-prime-pairwise,2,same,日米で同じ。日本語版 Wikipedia「互いに素」も互いに素と対ごとに素（pairwise coprime）を言い分ける。2026-09-26: 日米で同じなので、日本側の資料を足しても変わらない
justification-for-shortcut-formulas,2,jp,日本側（受験で 1/6 公式などだけで答えを出す）を確かめられる資料がない。2026-09-26: 共通テスト・センター試験はマーク式で途中を書かせないので、公式だけで答える習慣は確かめられない
p-value-vs-rejection-region,2,same,日米で同じ。高等学校学習指導要領解説の数学B も有意水準と確率 p を比べて帰無仮説を判断する（棄却域の語は出てこない）。2026-09-26: 日米で同じなので、日本側の資料を足しても変わらない
repeating-decimal-notation,2,jp,日本語版 Wikipedia「循環小数」は点と上線の両方を挙げ、日本側の書き方（点を打つ）を決められない。米国側（循環節全体に横線）は OpenStax Prealgebra・Elementary Algebra で確かめた。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも循環小数が出てこない
y-prime-vs-dy-dx,3,same,日米で同じ。日本の解説も y′ と dy/dx の両方を使い（理数数学II の dy/dx = ky）、米国の CED も両方を使う。「授業でどちらが多いか」は資料で確かめられない。2026-09-26: 日米で同じなので、日本側の資料を足しても変わらない
special-right-triangles-by-angles,3,jp,日本側（三角定規の形として覚える）が解説・日本語版 Wikipedia で見つからない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学にも「三角定規」が出てこない
area-between-curves-dy-and-parametric,3,jp,日本側（数学III で媒介変数表示の曲線で囲まれた面積も同じ積分の単元で扱う）を確かめられない。2026-09-26: 媒介変数表示の面積は数学Ⅲ で、共通テスト・センター試験の範囲にない
characteristic-equation-scope,3,jp,日本側（数学B の特性方程式が aₙ₊₁ = paₙ + q に対する α = pα + q を指す）を確かめられない。日本語版 Wikipedia「漸化式」の特性方程式は線形漸化式一般のもので、違いにならない。2026-09-26: 共通テスト（令和3〜8年度）・センター試験（平成26〜31年度）の本試験 数学に「特性方程式」が出てこない（漸化式はセンター試験 平成31年度 数学Ⅱ・数学Ｂ 第3問にあるが、特性方程式の語はない）
division-sign-usage,3,us,米国側の主張（÷ は小学校までの記号）が参照と合わない。OpenStax Prealgebra と Algebra and Trigonometry が ÷ を使う。2026-09-26: 米国側の理由なので、日本側の資料（共通テスト・センター試験）を足しても変わらない
multiplication-sign-usage,3,us,米国側の主張（× はベクトルの外積や次元に使う）が参照と合わない。OpenStax Prealgebra が × を数の掛け算に使う。2026-09-26: 米国側の理由なので、日本側の資料（共通テスト・センター試験）を足しても変わらない
decimal-point-and-digit-grouping,3,same,日米で同じ（小数点と 3 桁区切りのコンマ）。付録 B #10。2026-09-26: 日米で同じなので、日本側の資料を足しても変わらない
handwritten-digits,3,jp+us,手書きの数字の形を確かめられる資料がない。2026-09-26: 手書きの形は試験問題（印刷）からは確かめられない
handwritten-x-and-z,3,jp+us,手書きの x・z の形を確かめられる資料がない。2026-09-26: 手書きの形は試験問題（印刷）からは確かめられない
rationalizing-denominators-expectation,3,jp+us,日本側（答えの分母を必ず有理化する）と米国側（1/√2 のまま認める講師もいる）のどちらも資料で確かめられない。2026-09-26: センター試験の解答上の注意は分数の符号の付け方などを求めるが（平成30年度 数学①・数学② の注意）、分母の有理化の指示は見つからない。米国側（講師次第）も確かめられない
angle-units-degrees-and-radians,3,us,米国側（Calculus は radians だけを使う）を確かめられない。日米とも弧度法・radian を扱い、違いにならない。2026-09-26: 米国側の理由なので、日本側の資料（共通テスト・センター試験）を足しても変わらない
reading-f-of-x,3,same,日米で同じ（f(x) の記号）。付録 B #26。2026-09-26: 日米で同じなので、日本側の資料を足しても変わらない
